         17821262 function calls (15304465 primitive calls) in 61.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.032    0.032 platform.py:360(win32_ver)
    16671    0.013    0.000    0.032    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.032    0.032 agreement.py:1(<module>)
        1    0.000    0.000    0.031    0.031 platform.py:261(_syscmd_ver)
        1    0.000    0.000    0.031    0.031 subprocess.py:373(check_output)
        1    0.000    0.000    0.031    0.031 subprocess.py:460(run)
        1    0.000    0.000    0.031    0.031 _rotation_groups.py:1(<module>)
       16    0.000    0.000    0.031    0.002 _docscrape.py:140(__init__)
      454    0.010    0.000    0.030    0.000 inspect.py:2276(_signature_from_function)
      770    0.030    0.000    0.030    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.029    0.014 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.029    0.029 cfg.py:1(<module>)
      424    0.005    0.000    0.029    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.028    0.028 _policybase.py:1(<module>)
    27041    0.020    0.000    0.028    0.000 sre_parse.py:165(__getitem__)
     1678    0.014    0.000    0.028    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.028    0.028 _resampling.py:1(<module>)
        1    0.000    0.000    0.028    0.028 regex.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _minpack_py.py:1(<module>)
        1    0.000    0.000    0.027    0.027 ParseDev.py:26(getJsonData)
    24128    0.027    0.000    0.027    0.000 sre_parse.py:234(__next)
     3074    0.011    0.000    0.026    0.000 latin_1.py:25(decode)
      933    0.011    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        2    0.000    0.000    0.026    0.013 _distributor_init.py:1(<module>)
       84    0.026    0.000    0.026    0.000 {built-in method nt.listdir}
 4967/904    0.020    0.000    0.025    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.025    0.025 _interpolate.py:1(<module>)
    42/30    0.000    0.000    0.025    0.001 css_parser.py:581(parse_pseudo_class)
       84    0.001    0.000    0.025    0.000 <frozen zipimport>:64(__init__)
    38/29    0.000    0.000    0.025    0.001 css_parser.py:741(parse_pseudo_open)
       19    0.000    0.000    0.024    0.001 _distn_infrastructure.py:3245(_construct_docstrings)
        1    0.000    0.000    0.023    0.023 numeric.py:1(<module>)
        1    0.000    0.000    0.023    0.023 ParseDev.py:11(getDocNum)
        1    0.000    0.000    0.023    0.023 cd.py:1(<module>)
        1    0.007    0.007    0.023    0.023 _regex_core.py:1(<module>)
       16    0.001    0.000    0.023    0.001 _docscrape.py:371(_parse)
      126    0.001    0.000    0.022    0.000 _distn_infrastructure.py:608(__init__)
        1    0.000    0.000    0.022    0.022 platform.py:572(_node)
        1    0.000    0.000    0.022    0.022 _linprog_ip.py:1(<module>)
        1    0.000    0.000    0.021    0.021 shutil.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _misc.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _axis_nan_policy.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _multivariate.py:1(<module>)
        1    0.000    0.000    0.020    0.020 css_match.py:1(<module>)
     1628    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       84    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        2    0.000    0.000    0.020    0.010 tree.py:1(<module>)
        1    0.000    0.000    0.020    0.020 minimize_trustregion_constr.py:1(<module>)
        1    0.000    0.000    0.020    0.020 defmatrix.py:1(<module>)
    15646    0.019    0.000    0.020    0.000 {built-in method builtins.getattr}
       14    0.000    0.000    0.019    0.001 dataclasses.py:1175(wrap)
       14    0.001    0.000    0.019    0.001 dataclasses.py:882(_process_class)
        1    0.000    0.000    0.019    0.019 bleu_score.py:1(<module>)
      768    0.019    0.000    0.019    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.019    0.019 socket.py:1(<module>)
      469    0.001    0.000    0.019    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.019    0.019 ivp.py:1(<module>)
     8981    0.019    0.000    0.019    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.018    0.009 chart.py:1(<module>)
        1    0.000    0.000    0.018    0.018 main.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _filters.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _docscrape.py:1(<module>)
      606    0.008    0.000    0.017    0.000 parser.py:300(parse_starttag)
     9248    0.009    0.000    0.017    0.000 {built-in method builtins.max}
     3717    0.005    0.000    0.017    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.017    0.017 ssl.py:1(<module>)
        1    0.000    0.000    0.017    0.017 secrets.py:1(<module>)
        1    0.000    0.000    0.017    0.017 subprocess.py:1108(communicate)
     6928    0.013    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
     1992    0.009    0.000    0.016    0.000 porter.py:248(_apply_rule_list)
        3    0.016    0.005    0.016    0.005 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.016    0.016 fractions.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _optimize.py:1(<module>)
       72    0.007    0.000    0.016    0.000 __init__.py:328(namedtuple)
      247    0.001    0.000    0.016    0.000 abc.py:105(__new__)
     3074    0.016    0.000    0.016    0.000 {built-in method _codecs.latin_1_decode}
    27857    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.015    0.015 _csr.py:1(<module>)
      814    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      314    0.002    0.000    0.015    0.000 overrides.py:170(decorator)
       84    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.015    0.015 py3k.py:1(<module>)
      769    0.003    0.000    0.014    0.000 shelve.py:157(__del__)
        1    0.000    0.000    0.014    0.014 header.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shelve.py:1(<module>)
        1    0.000    0.000    0.014    0.014 subprocess.py:756(__init__)
